"Prodotti fitosanitari venduti nell'anno 2021 
(fonte dati: Autorità regionale competente, dichiarazioni di vendita p.f. 2021, art. 16 D.Lgs 150/2012)";;;
Provincia;N. Reg. ; Prodotto fitosanitario venduto;"Quantità 
(Kg o litri)"
BL;13062;DiPel DF PFnPE;0,95
BL;13065;DOMARK 125 PFnPE;13,90
BL;13084;TELDOR PLUS PFnPE;1,10
BL;13093;STOMP AQUA;6,00
BL;13098;ROUNDUP POWER 2.0 PFnPE;25,00
BL;13149;POLTIGLIA MANICA 20 WG;198,50
BL;13149;POLTIGLIA MANICA 20 WG PFnPE;70,50
BL;13160;FORUM TOP;15,00
BL;13186;TITUS MAIS EXTRA;1,12
BL;13213;R6 ERRESEI ALBIS;5,00
BL;13242;NICOGAN V.O.;9,00
BL;13263;BORDORAM 20 WG;9,50
BL;13263;BORDORAM 20 WG PFnPE;35,60
BL;13323;SULFY 80 WDG;3,20
BL;13323;SULFY 80 WDG PFnPE;6,10
BL;13324;CUPRIZOL S;3,00
BL;13382;PERGADO SC;2,00
BL;13389;AFFIRM;4,00
BL;13466;SPOTLIGHT PLUS;4,00
BL;13468;CLINER;0,35
BL;13468;CLINER PFnPE;1,20
BL;13540;QUASAR R FLOW;2,00
BL;13552;ZOLVIS 80 SECTOR;8,50
BL;13576;RAMEPLANT WG;0,50
BL;13576;RAMEPLANT WG PFnPE;7,50
BL;13586;VERDERAME 20 WG;17,00
BL;13586;VERDERAME 20 WG PFnPE;20,50
BL;13635;POLTIGLIA 20 PB MANICA PFnPE;15,50
BL;13693;BACILLUS CHEMIA;1,60
BL;13791;GEATER-STAR;29,50
BL;13791;GEATER-STAR PFnPE;103,00
BL;13809;FORCE ULTRA;3.790,00
BL;13815;TUTOR 18-15;2,00
BL;13815;TUTOR 18-15 PFnPE;45,60
BL;13981;CORAGEN;0,30
BL;14058;FEINZIN 70 DF;0,25
BL;14074;TRINEX 250 EW;0,20
BL;14076;CYPRUS 25 DF;2,00
BL;14154;PIRETRO ACTIGREEN PFnPE;4,96
BL;14165;NANDO MAXI;1,00
BL;14210;EVURE PRO;1,00
BL;14257;UNDERLINE 0,2 G;28,50
BL;14257;UNDERLINE 0,2 G PFnPE;69,50
BL;14262;GREENEX NF PFnPE;0,79
BL;14363;U 46 GIARDEN PFnPO;1,00
BL;14636;BIOLID UP PFnPE;9,60
BL;14642;RIDOMIL GOLD R WG;112,00
BL;14737;ROUNDUP PLATINUM;401,00
BL;14739;DELTAM PROTECT PFnPE;109,00
BL;14812;ENERVIN TOP;7,00
BL;14836;BARBARIAN BIOGRADE 360;5,50
BL;14891;TRICO;9,50
BL;14891;TRICO PFnPE;29,50
BL;14919;EMERALD 125;1,20
BL;14919;EMERALD 125 PFnPE;0,51
BL;14947;TRUSTEE 450;9,00
BL;14947;TRUSTEE 450 PFnPE;450,50
BL;14970;POLYSECT ULTRA SL PFnPO;7,80
BL;15013;NATRIA LUMACHICIDA PFnPE;319,50
BL;15019;RIVIERA;4,00
BL;15023;DERREX;20,00
BL;15047;R6 ERRESEI BORDEAUX WG;22,00
BL;15058;PRINCIPAL MAIS;18,04
BL;15059;DECIS EVO;3,00
BL;15096;GLIPHOGAN TOP CL;202,50
BL;15096;GLIPHOGAN TOP CL PFnPE;1.416,00
